name,type,value,date
10,,78,2019-04-06,
11,,126,2019-04-06,
12,,66,2019-04-06,
13,,58,2019-04-06,
14,,96,2019-04-06,
15,,85,2019-04-06,
16,,83,2019-04-06,
17,,26,2019-04-06,
18,,33,2019-04-06,
19,,18,2019-04-06,
20,,9,2019-04-06,
21,,4,2019-04-06,
22,,3,2019-04-06,
23,,20,2019-04-06,
0,,33,2019-04-07,
1,,66,2019-04-07,
2,,111,2019-04-07,
3,,123,2019-04-07,
4,,131,2019-04-07,
5,,118,2019-04-07,
6,,101,2019-04-07,
7,,102,2019-04-07,
8,,118,2019-04-07,
9,,93,2019-04-07,
10,,79,2019-04-07,
11,,132,2019-04-07,
12,,72,2019-04-07,
13,,64,2019-04-07,
14,,99,2019-04-07,
15,,90,2019-04-07,
16,,83,2019-04-07,
17,,26,2019-04-07,
18,,34,2019-04-07,
19,,18,2019-04-07,
20,,9,2019-04-07,
21,,4,2019-04-07,
22,,3,2019-04-07,
23,,20,2019-04-07,
0,,33,2019-04-08,
1,,70,2019-04-08,
2,,120,2019-04-08,
3,,129,2019-04-08,
4,,132,2019-04-08,
5,,118,2019-04-08,
6,,102,2019-04-08,
7,,115,2019-04-08,
8,,126,2019-04-08,
9,,99,2019-04-08,
10,,81,2019-04-08,
11,,133,2019-04-08,
12,,77,2019-04-08,
13,,67,2019-04-08,
14,,102,2019-04-08,
15,,93,2019-04-08,
16,,83,2019-04-08,
17,,26,2019-04-08,
18,,34,2019-04-08,
19,,18,2019-04-08,
20,,9,2019-04-08,
21,,4,2019-04-08,
22,,4,2019-04-08,
23,,20,2019-04-08,
0,,33,2019-04-09,
1,,73,2019-04-09,
2,,150,2019-04-09,
3,,135,2019-04-09,
4,,134,2019-04-09,
5,,118,2019-04-09,
6,,106,2019-04-09,
7,,124,2019-04-09,
8,,133,2019-04-09,
9,,106,2019-04-09,
10,,83,2019-04-09,
11,,133,2019-04-09,
12,,78,2019-04-09,
13,,78,2019-04-09,
14,,130,2019-04-09,
15,,95,2019-04-09,
16,,87,2019-04-09,
17,,27,2019-04-09,
18,,41,2019-04-09,
19,,19,2019-04-09,
20,,9,2019-04-09,
21,,4,2019-04-09,
22,,5,2019-04-09,
23,,21,2019-04-09,
0,,34,2019-04-10,
1,,94,2019-04-10,
2,,162,2019-04-10,
3,,141,2019-04-10,
4,,149,2019-04-10,
5,,131,2019-04-10,
6,,113,2019-04-10,
7,,124,2019-04-10,
8,,133,2019-04-10,
9,,107,2019-04-10,
10,,89,2019-04-10,
11,,134,2019-04-10,
12,,79,2019-04-10,
13,,78,2019-04-10,
14,,134,2019-04-10,
15,,101,2019-04-10,
16,,87,2019-04-10,
17,,27,2019-04-10,
18,,41,2019-04-10,
19,,20,2019-04-10,
20,,10,2019-04-10,
21,,4,2019-04-10,
22,,5,2019-04-10,
23,,21,2019-04-10,
0,,34,2019-04-11,
1,,101,2019-04-11,
2,,178,2019-04-11,
3,,157,2019-04-11,
4,,151,2019-04-11,
5,,141,2019-04-11,
6,,133,2019-04-11,
7,,129,2019-04-11,
8,,136,2019-04-11,
9,,113,2019-04-11,
10,,90,2019-04-11,
11,,134,2019-04-11,
12,,84,2019-04-11,
13,,90,2019-04-11,
14,,138,2019-04-11,
15,,103,2019-04-11,
16,,88,2019-04-11,
17,,27,2019-04-11,
18,,41,2019-04-11,
19,,20,2019-04-11,
20,,10,2019-04-11,
21,,4,2019-04-11,
22,,5,2019-04-11,
23,,21,2019-04-11,
0,,34,2019-04-12,
1,,102,2019-04-12,
2,,180,2019-04-12,
3,,161,2019-04-12,
4,,151,2019-04-12,
5,,147,2019-04-12,
6,,158,2019-04-12,
7,,130,2019-04-12,
8,,137,2019-04-12,
9,,115,2019-04-12,
10,,91,2019-04-12,
11,,134,2019-04-12,
12,,85,2019-04-12,
13,,101,2019-04-12,
14,,138,2019-04-12,
15,,111,2019-04-12,
16,,89,2019-04-12,
17,,28,2019-04-12,
18,,41,2019-04-12,
19,,20,2019-04-12,
20,,10,2019-04-12,
21,,4,2019-04-12,
22,,5,2019-04-12,
23,,21,2019-04-12,
0,,34,2019-04-13,
1,,104,2019-04-13,
2,,182,2019-04-13,
3,,164,2019-04-13,
4,,153,2019-04-13,
5,,151,2019-04-13,
6,,158,2019-04-13,
7,,153,2019-04-13,
8,,142,2019-04-13,
9,,115,2019-04-13,
10,,99,2019-04-13,
11,,135,2019-04-13,
12,,88,2019-04-13,
13,,104,2019-04-13,
14,,140,2019-04-13,
15,,112,2019-04-13,
16,,89,2019-04-13,
17,,31,2019-04-13,
18,,41,2019-04-13,
19,,20,2019-04-13,
20,,10,2019-04-13,
21,,4,2019-04-13,
22,,5,2019-04-13,
23,,21,2019-04-13,
0,,34,2019-04-14,
1,,104,2019-04-14,
2,,186,2019-04-14,
3,,173,2019-04-14,
4,,155,2019-04-14,
5,,151,2019-04-14,
6,,160,2019-04-14,
7,,154,2019-04-14,
8,,143,2019-04-14,
9,,117,2019-04-14,
10,,129,2019-04-14,
11,,135,2019-04-14,
12,,88,2019-04-14,
13,,105,2019-04-14,
14,,141,2019-04-14,
15,,116,2019-04-14,
16,,89,2019-04-14,
17,,31,2019-04-14,
18,,41,2019-04-14,
19,,21,2019-04-14,
20,,10,2019-04-14,
21,,5,2019-04-14,
22,,5,2019-04-14,
23,,22,2019-04-14,
0,,34,2019-04-15,
1,,105,2019-04-15,
2,,186,2019-04-15,
3,,181,2019-04-15,
4,,155,2019-04-15,
5,,152,2019-04-15,
6,,162,2019-04-15,
7,,155,2019-04-15,
8,,145,2019-04-15,
9,,119,2019-04-15,
10,,135,2019-04-15,
11,,148,2019-04-15,
12,,89,2019-04-15,
13,,105,2019-04-15,
14,,143,2019-04-15,
15,,119,2019-04-15,
16,,90,2019-04-15,
17,,31,2019-04-15,
18,,41,2019-04-15,
19,,21,2019-04-15,
20,,10,2019-04-15,
21,,5,2019-04-15,
22,,5,2019-04-15,
23,,22,2019-04-15,
0,,34,2019-04-16,
1,,108,2019-04-16,
2,,189,2019-04-16,
3,,195,2019-04-16,
4,,157,2019-04-16,
5,,153,2019-04-16,
6,,164,2019-04-16,
7,,160,2019-04-16,
8,,146,2019-04-16,
9,,120,2019-04-16,
10,,135,2019-04-16,
11,,164,2019-04-16,
12,,89,2019-04-16,
13,,106,2019-04-16,
14,,144,2019-04-16,
15,,121,2019-04-16,
16,,94,2019-04-16,
17,,31,2019-04-16,
18,,41,2019-04-16,
19,,21,2019-04-16,
20,,11,2019-04-16,
21,,5,2019-04-16,
22,,5,2019-04-16,
23,,22,2019-04-16,
0,,34,2019-04-17,
1,,110,2019-04-17,
2,,190,2019-04-17,
3,,198,2019-04-17,
4,,158,2019-04-17,
5,,154,2019-04-17,
6,,164,2019-04-17,
7,,160,2019-04-17,
8,,146,2019-04-17,
9,,121,2019-04-17,
10,,136,2019-04-17,
11,,164,2019-04-17,
12,,89,2019-04-17,
13,,124,2019-04-17,
14,,148,2019-04-17,
15,,123,2019-04-17,
16,,94,2019-04-17,
17,,31,2019-04-17,
18,,42,2019-04-17,
19,,21,2019-04-17,
20,,11,2019-04-17,
21,,5,2019-04-17,
22,,5,2019-04-17,
23,,22,2019-04-17,
0,,36,2019-04-18,
1,,117,2019-04-18,
2,,192,2019-04-18,
3,,200,2019-04-18,
4,,159,2019-04-18,
5,,155,2019-04-18,
6,,167,2019-04-18,
7,,162,2019-04-18,
8,,147,2019-04-18,
9,,124,2019-04-18,
10,,136,2019-04-18,
11,,165,2019-04-18,
12,,91,2019-04-18,
13,,124,2019-04-18,
14,,150,2019-04-18,
15,,123,2019-04-18,
16,,94,2019-04-18,
17,,31,2019-04-18,
18,,43,2019-04-18,
19,,21,2019-04-18,
20,,11,2019-04-18,
21,,5,2019-04-18,
22,,5,2019-04-18,
23,,22,2019-04-18,
0,,36,2019-04-19,
1,,121,2019-04-19,
2,,195,2019-04-19,
3,,201,2019-04-19,
4,,159,2019-04-19,
5,,155,2019-04-19,
6,,167,2019-04-19,
7,,164,2019-04-19,
8,,147,2019-04-19,
9,,127,2019-04-19,
10,,162,2019-04-19,
11,,171,2019-04-19,
12,,92,2019-04-19,
13,,124,2019-04-19,
14,,152,2019-04-19,
15,,123,2019-04-19,
16,,94,2019-04-19,
17,,31,2019-04-19,
18,,43,2019-04-19,
19,,21,2019-04-19,
20,,11,2019-04-19,
21,,5,2019-04-19,
22,,5,2019-04-19,
23,,22,2019-04-19,
0,,36,2019-04-20,
1,,121,2019-04-20,
2,,195,2019-04-20,
3,,203,2019-04-20,
4,,159,2019-04-20,
5,,155,2019-04-20,
6,,167,2019-04-20,
7,,164,2019-04-20,
8,,147,2019-04-20,
9,,127,2019-04-20,
10,,163,2019-04-20,
11,,171,2019-04-20,
12,,92,2019-04-20,
13,,125,2019-04-20,
14,,152,2019-04-20,
15,,126,2019-04-20,
16,,94,2019-04-20,
17,,34,2019-04-20,
18,,43,2019-04-20,
19,,22,2019-04-20,
20,,11,2019-04-20,
21,,5,2019-04-20,
22,,5,2019-04-20,
23,,22,2019-04-20,
0,,36,2019-04-21,
1,,121,2019-04-21,
2,,195,2019-04-21,
3,,203,2019-04-21,
4,,159,2019-04-21,
5,,157,2019-04-21,
6,,167,2019-04-21,
7,,164,2019-04-21,
8,,147,2019-04-21,
